Pathways	Species	Taxonomic-Range
lipid A-core biosynthesis (<i>Salmonella</i>)	Salmonella enterica	Salmonella
<i>Helicobacter pylori</i> 26695 lipopolysaccharide biosynthesis (final steps)	Helicobacter pylori	Helicobacter pylori
<i>Brucella abortus</i> lipopolysaccharide biosynthesis (final steps)	Brucella abortus	Brucella/Ochrobactrum group
<i>Salmonella typhimurium</i> LT2 lipopolysaccharide biosynthesis (final steps)	Salmonella enterica	Salmonella
<i>Porphyromonas gingivalis</i> lipopolysaccharide (O-LPS) biosynthesis (final steps)	Porphyromonas gingivalis	Porphyromonas
UDP-3-acetamido-2-amino-2,3-dideoxy-&alpha;-D-glucopyranose biosynthesis	Acidithiobacillus ferrooxidans // Azorhizobium caulinodans // Bradyrhizobium elkanii // Brevundimonas diminuta // Brucella abortus // Campylobacter jejuni // Legionella pneumophila // Leptospira interrogans // Mesorhizobium huakuii // Brucella anthropi // Afipia carboxidovorans // Phyllobacterium trifolii // Rhodopseudomonas palustris	Bacteria <bacteria>
lipid IV<sub>A</sub> biosynthesis (<i>Vibrio cholerae</i> serogroup O1 El Tor)	Vibrio cholerae O1	Vibrio cholerae
lipid IV<sub>A</sub> biosynthesis (2,3-diamino-2,3-dideoxy-D-glucopyranose-containing)	Brucella abortus	Bacteria <bacteria>
lipid IV<sub>A</sub> biosynthesis (<i>H. pylori</i>)	Helicobacter pylori	Helicobacter pylori
tetrahydrofolate biosynthesis II	Haloarcula marismortui // Halobacterium salinarum // Helicobacter pylori	Bacteria <bacteria> // Archaea
Kdo transfer to lipid IV<sub>A</sub> (<i>Vibrio cholerae</i> serogroup O1 El Tor)	Vibrio cholerae O1	Vibrio cholerae
Kdo transfer to lipid IV<sub>A</sub> (<i>H. pylori</i>)	Helicobacter pylori	Helicobacter pylori
Kdo transfer to lipid IV<sub>A</sub> (<i>Brucella</i>)	Brucella abortus	Hyphomicrobiales
(Kdo)<sub>2</sub>-lipid A modification (<i>H. pylori</i>)	Helicobacter pylori	Helicobacter pylori
(Kdo)<sub>2</sub>-lipid A biosynthesis (<i>H. pylori</i>)	Helicobacter pylori	Helicobacter pylori
(Kdo)<sub>2</sub>-lipid A biosynthesis I (<i>Brucella</i>)	Brucella abortus	Brucellaceae
NADPH repair (prokaryotes)	Escherichia coli	Archaea // Bacteria <bacteria>
NADH repair (prokaryotes)	Escherichia coli	Archaea // Bacteria <bacteria>
NADPH repair (eukaryotes)	Homo sapiens // Saccharomyces cerevisiae	Eukaryota
TCA cycle VIII (Chlamydia)	Chlamydia trachomatis	Chlamydia
lactucaxanthin biosynthesis	Lactuca sativa romaine	Magnoliopsida
methylglyoxal degradation IV	Escherichia coli	Bacteria <bacteria>
NAD <i>de novo</i> biosynthesis IV (anaerobic)	Escherichia coli // Porphyromonas gingivalis // Pyrococcus horikoshii	Archaea // Bacteria <bacteria>
L-tryptophan degradation III (eukaryotic)	Homo sapiens // Mus musculus // Rattus norvegicus // Saccharomyces cerevisiae	Fungi // Metazoa
maltose degradation	Levilactobacillus brevis // Lactococcus lactis // Neisseria meningitidis	Bacteria <bacteria>
lauryl-hydroxychlorobactene glucoside biosynthesis	Chlorobaculum limnaeum // Chlorobaculum tepidum // Chlorobium phaeobacteroides // Chlorobium phaeobacteroides	Chlorobiaceae
NAD salvage pathway V (PNC V cycle)	Saccharomyces cerevisiae	Eukaryota
L-tryptophan degradation VIII (to tryptophol)	Saccharomyces cerevisiae	Fungi
D-tagatose degradation	Bacillus licheniformis // Klebsiella oxytoca // Klebsiella pneumoniae // Salmonella enterica	Bacteria <bacteria>
&beta;-carotene biosynthesis	Brevibacterium linens // Capsicum annuum // Carica papaya // Narcissus pseudonarcissus // Pantoea ananatis // Solanum lycopersicum // Solanum tuberosum // Phaffia rhodozyma // Arabidopsis thaliana // Lactuca sativa romaine	Fungi // Bacteria <bacteria> // Rhodophyta // Chlorophyta // Viridiplantae
superpathway of hexuronide and hexuronate degradation	Escherichia coli	Bacteria <bacteria>
NAD salvage pathway III (to nicotinamide riboside)	Aggregatibacter actinomycetemcomitans // Escherichia coli // Haemophilus influenzae // Lactococcus lactis // Nostoc punctiforme // Pasteurella multocida // [Haemophilus] ducreyi	Bacteria <bacteria>
L-tryptophan degradation X (mammalian, via tryptamine)	Sus scrofa // Mus musculus // Rattus norvegicus // Homo sapiens	Mammalia
mannitol degradation II	Apium graveolens // Cassia coluteoides	Tracheophyta
2-oxoisovalerate decarboxylation to isobutanoyl-CoA	Geobacillus stearothermophilus // Homo sapiens // Mus musculus // Pseudomonas aeruginosa // Pseudomonas putida // Rattus norvegicus // Saccharolobus solfataricus // Synechocystis	Eukaryota // Bacteria <bacteria> // Archaea
diadinoxanthin and fucoxanthin biosynthesis	Stephanocyclus meneghinianus // Phaeodactylum tricornutum	Bacillariophyta // Dinophyceae // Xanthophyceae // Chrysophyceae
superpathway of NAD biosynthesis in eukaryotes	Saccharomyces cerevisiae	Eukaryota
L-tryptophan degradation XIII (reductive Stickland reaction)	Clostridium sporogenes	Bacteria <bacteria>
melibiose degradation	Escherichia coli	Eukaryota // Bacteria <bacteria> // Archaea
&alpha;-carotene biosynthesis	Prochlorococcus marinus // Capsicum annuum // Solanum lycopersicum // Solanum tuberosum // Phaffia rhodozyma // Arabidopsis thaliana // Lactuca sativa romaine	Fungi // Rhodophyta // Chlorophyta // Cyanobacteria // Viridiplantae
superpathway of formononetin derivative biosynthesis	Cicer arietinum // Medicago sativa // Medicago truncatula // Trifolium pratense	Fabaceae
NAD salvage pathway II (PNC IV cycle)	Escherichia coli // Salmonella enterica	Bacteria <bacteria>
L-tryptophan degradation II (via pyruvate)	Aeromonas hydrophila // Klebsiella aerogenes // Escherichia coli // Fusobacterium varium // Paenibacillus alvei // Pasteurella multocida // Cutibacterium acnes // Proteus vulgaris // Symbiobacterium thermophilum // Vibrio cholerae // Vibrio harveyi // Bacteroides sp. DeMoss 69 // Vibrio sp.	Bacteria <bacteria>
laminaribiose degradation	Euglena gracilis	cellular organisms
2-oxoglutarate decarboxylation to succinyl-CoA	Bacillus subtilis // Deinococcus radiodurans // Escherichia coli // Geobacillus stearothermophilus // Homo sapiens // Mus musculus // Pseudomonas aeruginosa // Pseudomonas putida // Rattus norvegicus // Saccharolobus solfataricus // Synechocystis	Eukaryota // Bacteria <bacteria> // Archaea
<i>trans</i>-lycopene biosynthesis I	Streptomyces griseus // Gloeobacter violaceus // Myxococcus xanthus // Neurospora crassa // Pantoea ananatis // Pantoea stewartii // Rubrivivax gelatinosus // Phaffia rhodozyma	Fungi // Archaea // Bacteria <bacteria>
NAD salvage pathway IV (from nicotinamide riboside)	Escherichia coli // Haemophilus influenzae // Homo sapiens // Saccharomyces cerevisiae	Metazoa // Fungi // Bacteria <bacteria>
L-tryptophan degradation IX	Bacillus cereus // Burkholderia cenocepacia	Bacteria <bacteria>
D-gulosides conversion to D-glucosides	Escherichia coli	Bacteria <bacteria>
<i>trans</i>-lycopene biosynthesis II (oxygenic phototrophs and green sulfur bacteria)	Capsicum annuum // Chlorobaculum tepidum // Nostoc sp. PCC 7120 = FACHB-418 // Solanum lycopersicum // Solanum tuberosum // Synechococcus elongatus // Synechocystis sp. PCC 6803 // Zea mays // Arabidopsis thaliana // Lactuca sativa romaine	Chlorobia // Cyanobacteria // Rhodophyta // Viridiplantae
superpathway of linamarin and lotaustralin biosynthesis	Linum usitatissimum // Lotus japonicus // Manihot esculenta	Linaceae // Euphorbiaceae // Asteraceae // Fabaceae // Papaveraceae
NAD <i>de novo</i> biosynthesis I	Bacillus cereus // Bacillus subtilis // Cupriavidus metallidurans // Escherichia coli // Gossypium hirsutum // Mycobacterium tuberculosis // Nicotiana rustica // Nicotiana tabacum // Pseudomonas aeruginosa // Pseudomonas putida // Ralstonia solanacearum // Ricinus communis // Arabidopsis thaliana	Eukaryota // Bacteria <bacteria>
L-tryptophan degradation XII (Geobacillus)	Geobacillus thermodenitrificans	Bacteria <bacteria>
<i>N</i>-acetyl-D-galactosamine degradation	Shewanella amazonensis // Shewanella sp. ANA-3 // Shewanella sp. MR-4 // Shewanella sp. MR-7	Proteobacteria
guanosine deoxyribonucleotides <i>de novo</i> biosynthesis I	Escherichia coli // Homo sapiens // Saccharomyces cerevisiae // Salmonella enterica // Arabidopsis thaliana	Eukaryota // Archaea // Bacteria <bacteria>
NAD <i>de novo</i> biosynthesis II (from tryptophan)	Actinobacteria // Cytophaga hutchinsonii // Gemmata sp. Wa1-1 // Homo sapiens // Oryza sativa // Polaribacter filamentus // Saccharomyces cerevisiae // Streptomyces antibioticus // Xanthomonas arboricola // Xanthomonas axonopodis	Eukaryota // Bacteria <bacteria>
L-tryptophan degradation IV (via indole-3-lactate)	Clostridium botulinum // Clostridium sporogenes // Lactobacillaceae // Lacticaseibacillus casei // Lactobacillus helveticus // Leuconostoc mesenteroides	Firmicutes
extended VTC2 cycle	Arabidopsis thaliana	Viridiplantae
guanosine deoxyribonucleotides <i>de novo</i> biosynthesis II	Escherichia coli // Salmonella enterica	Bacteria <bacteria>
superpathway of jasmonoyl-amino acid conjugates biosynthesis	Nicotiana attenuata // Arabidopsis thaliana	Viridiplantae
NAD biosynthesis from 2-amino-3-carboxymuconate semialdehyde	Actinobacteria // Cytophaga hutchinsonii // Gemmata sp. Wa1-1 // Homo sapiens // Oryza sativa // Polaribacter filamentus // Saccharomyces cerevisiae // Streptomyces antibioticus // Xanthomonas arboricola // Xanthomonas axonopodis	Eukaryota // Bacteria <bacteria>
L-tryptophan degradation V (side chain pathway)	Pseudomonas fluorescens // Xanthobacter agilis	Proteobacteria
D-galactosamine and <i>N</i>-acetyl-D-galactosamine degradation	Escherichia coli O157:H7 // Escherichia coli // Escherichia coli	Proteobacteria
cardiolipin biosynthesis II	Homo sapiens // Vigna radiata // Arabidopsis thaliana	Eukaryota
NAD <i>de novo</i> biosynthesis III	Archaeoglobus fulgidus // Methanocaldococcus jannaschii // Methanococcoides burtonii // Methanococcus maripaludis // Methanopyrus kandleri // Methanosarcina barkeri // Methanosarcina mazei // Methanothermobacter thermautotrophicus // Thermotoga maritima	Archaea // Bacteria <bacteria>
L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde	Burkholderia cenocepacia // Homo sapiens // Mus musculus // Rattus norvegicus // Saccharomyces cerevisiae	Bacteria <bacteria> // Fungi // Metazoa
L-lyxose degradation	Escherichia coli	Bacteria <bacteria>
superpathway of cardiolipin biosynthesis (bacteria)	Bradyrhizobium diazoefficiens // Escherichia coli // Sinorhizobium meliloti // Staphylococcus aureus // Streptococcus pneumoniae // Xanthomonas campestris // Xanthomonas campestris	Bacteria <bacteria>
aspartate superpathway	Escherichia coli	Bacteria <bacteria>
NAD salvage pathway I (PNC VI cycle)	Escherichia coli // Salmonella enterica	Bacteria <bacteria>
colupulone and cohumulone biosynthesis	Humulus lupulus	Cannabaceae
2-deoxy-D-glucose 6-phosphate degradation	Aspergillus oryzae // Rhodotorula glutinis	Fungi // Bacteria <bacteria>
cardiolipin and phosphatidylethanolamine biosynthesis (<i>Xanthomonas</i>)	Xanthomonas campestris // Xanthomonas campestris	Bacteria <bacteria>
3-(imidazol-5-yl)lactate salvage	Comamonas testosteroni // Delftia acidovorans // Escherichia coli	Proteobacteria
hyperforin and adhyperforin biosynthesis	Hypericum calycinum // Hypericum perforatum	Hypericum
L-sorbose degradation	Klebsiella pneumoniae	Bacteria <bacteria> // Viridiplantae
cardiolipin biosynthesis I	Escherichia coli // Staphylococcus aureus	Bacteria <bacteria>
L-histidine biosynthesis	Bacillus subtilis // Brassica oleracea // Escherichia coli // Haemophilus influenzae // Saccharomyces cerevisiae // Salmonella enterica // Thermococcus onnurineus // Thermotoga maritima // Thermus thermophilus // Arabidopsis thaliana	Archaea // Fungi // Viridiplantae // Bacteria <bacteria>
lupulone and humulone biosynthesis	Humulus lupulus	Cannabaceae
2-<I>O</I>-&alpha;-mannosyl-D-glycerate degradation	Escherichia coli	Bacteria <bacteria>
cardiolipin biosynthesis III	Escherichia coli	Bacteria <bacteria>
salicylate biosynthesis II	Catharanthus roseus // Cucumis sativus // Nicotiana tabacum // Arabidopsis thaliana	Embryophyta
cannabinoid biosynthesis	Cannabis sativa	Cannabaceae
stachyose degradation	Cucumis melo // Cucumis sativus	Viridiplantae
8-oxo-(d)GTP detoxification II	Bacillus subtilis // Mycobacterium tuberculosis	Opisthokonta // Viridiplantae // Bacteria <bacteria>
salicylate biosynthesis I	Mycobacterium tuberculosis // Mycobacterium tuberculosis // Pseudomonas aeruginosa // Yersinia enterocolitica // Yersinia pestis	Bacteria <bacteria>
adlupulone and adhumulone biosynthesis	Humulus lupulus	Cannabaceae
fructose degradation	Escherichia coli	Bacteria <bacteria> // Archaea
methylsalicylate biosynthesis	Solanum lycopersicum	Magnoliopsida
superpathway of bitter acids biosynthesis	Humulus lupulus	Cannabaceae
1,5-anhydrofructose degradation	Ensifer adhaerens // Sinorhizobium meliloti	Bacteria <bacteria>
methylglyoxal degradation VIII	Saccharomyces cerevisiae	Fungi
8-oxo-(d)GTP detoxification I	Escherichia coli // Homo sapiens // Saccharomyces cerevisiae // Arabidopsis thaliana	Opisthokonta // Viridiplantae // Bacteria <bacteria>
salicylate biosynthesis III	Catharanthus roseus // Cucumis sativus // Nicotiana tabacum // Arabidopsis thaliana	Viridiplantae
olivetol biosynthesis	Cannabis sativa	Cannabis
VTC2 cycle	Arabidopsis thaliana	Viridiplantae
superpathway of methylglyoxal degradation	Escherichia coli	Bacteria <bacteria>
gluconeogenesis I	Brassica napus // Cucumis sativus // Escherichia coli // Glycine max // Hordeum vulgare // Nicotiana tabacum // Oryza sativa // Pisum sativum // Ricinus communis // Solanum lycopersicum // Solanum tuberosum // Vicia faba // Zea mays // Arabidopsis thaliana	Fungi // Viridiplantae // Archaea // Bacteria <bacteria>
sulfur reduction II (via polysulfide)	Desulfovibrio desulfuricans // Pyrococcus furiosus // Wolinella succinogenes	Bacteria <bacteria> // Archaea
2-deoxy-&alpha;-D-ribose 1-phosphate degradation	Escherichia coli	Bacteria <bacteria>
2,6-dinitrotoluene degradation	Hydrogenophaga palleronii // Burkholderia cepacia JS850	Bacteria <bacteria>
gluconeogenesis III	Homo sapiens	Metazoa
sulfur reduction I	Acidianus ambivalens // Thermoproteus tenax // Sulfurospirillum arcachonense // Stygiolobus azoricus // Stetteria hydrogenophila // Sulfurospirillum deleyianum // Pyrodictium brockii // Pyrodictium abyssi // Pyrobaculum islandicum // Syntrophotalea carbinolica // Desulfuromonas acetoxidans // Desulfuromonas acetexigens // Desulfurobacterium thermolithotrophum // Desulfomicrobium baculatum // Aquifex pyrophilus // Ammonifex degensii // Acidithiobacillus ferrooxidans // Acidianus infernus	Bacteria <bacteria> // Archaea
glucose and glucose-1-phosphate degradation	Escherichia coli	Archaea // Eukaryota // Bacteria <bacteria>
2,4-dinitrotoluene degradation	Burkholderia sp. DNT // Burkholderia cepacia R34	Bacteria <bacteria>
gluconeogenesis II (<i>Methanobacterium thermoautotrophicum</i>)	Methanothermobacter thermautotrophicus // Methanothermobacter thermautotrophicus // Methanothermobacter thermautotrophicus // Methanothermobacter marburgensis	Archaea
sulfur reduction III	Pyrococcus furiosus	Archaea
3,6-anhydro-&alpha;-L-galactopyranose degradation	Postechiella marina // Pseudoalteromonas atlantica // Streptomyces coelicolor // Vibrio sp. EJY3	Bacteria <bacteria>
1-chloro-2-nitrobenzene degradation	Pseudomonas stutzeri	Bacteria <bacteria>
sucrose biosynthesis III	Methylobacillus flagellatus	Methylophilaceae // Methylophaga // Methylobacter // Methylomicrobium
D-apiose degradation II (to D-apionate)	Agrobacterium radiobacter // Brucella anthropi // Paraburkholderia graminis	Bacteria <bacteria>
fluorene degradation II	Pseudomonas sp. NCIB9816-4	Proteobacteria
sucrose biosynthesis II	Pisum sativum // Solanum lycopersicum // Solanum tuberosum // Spinacia oleracea // Arabidopsis thaliana	Viridiplantae
4-sulfocatechol degradation	Hydrogenophaga intermedia // Delftia acidovorans // Agrobacterium radiobacter	Bacteria <bacteria>
D-apiose degradation I	Actinobacillus succinogenes // Phocaeicola vulgatus // Blautia hydrogenotrophica // Pectobacterium atrosepticum // Pectobacterium carotovorum	Bacteria <bacteria>
fluorene degradation I	Brevibacterium sp.	Actinobacteria
sucrose biosynthesis I (from photosynthesis)	Glycine max // Malus domestica // Nicotiana tabacum // Oryza sativa // Oryza sativa // Solanum lycopersicum // Spinacia oleracea // Arabidopsis thaliana	Cyanobacteria // Viridiplantae
benzenesulfonate degradation	Alcaligenes sp. O-1	Proteobacteria
phospholipid remodeling (phosphatidylcholine, yeast)	Saccharomyces cerevisiae	Eukaryota
poly(ribitol phosphate) wall teichoic acid biosynthesis I (<i>B. subtilis</i>)	Bacillus subtilis	Firmicutes
3-(4-sulfophenyl)butanoate degradation	Comamonas testosteroni	Proteobacteria
phosphatidylcholine biosynthesis I	Homo sapiens // Mus musculus // Saccharomyces cerevisiae // Secale cereale // Treponema denticola // Treponema pallidum // Treponema phagedenis // Treponema vincentii	Spirochaetia // Eukaryota
type IV lipoteichoic acid biosynthesis (<i>S. pneumoniae</i>)	Streptococcus pneumoniae	Firmicutes
sulfoacetaldehyde degradation III	Marinomonas sp. MED121 // Dickeya dadantii // Psychromonas ingrahamii // Chromohalobacter salexigens // Klebsiella oxytoca	Bacteria <bacteria>
phosphatidylcholine biosynthesis IV	Daucus carota // Olea europaea	Viridiplantae
type I lipoteichoic acid biosynthesis (<i>S. aureus</i>)	Bacillus anthracis // Bacillus subtilis // Listeria monocytogenes // Staphylococcus aureus	Firmicutes
sulfoacetaldehyde degradation II	Neptuniibacter caesariensis // Rhodopseudomonas palustris	Bacteria <bacteria>
dTMP <i>de novo</i> biosynthesis (mitochondrial)	Homo sapiens // Saccharomyces cerevisiae	Eukaryota
phosphatidylcholine biosynthesis VI	Agrobacterium fabrum // Agrobacterium tumefaciens // Borreliella burgdorferi // Brucella abortus // Legionella bozemanae // Legionella pneumophila // Pseudomonas aeruginosa // Pseudomonas aeruginosa // Sinorhizobium meliloti // Sinorhizobium meliloti	Bacteria <bacteria>
poly(glycerol phosphate) wall teichoic acid biosynthesis	Bacillus subtilis // Lactiplantibacillus plantarum	Firmicutes
sulfoacetaldehyde degradation I	Rhodococcus opacus // Paracoccus denitrificans // Castellaniella denitrificans // Bilophila wadsworthia // Paracoccus denitrificans // Desulfonispora thiosulfatigenes // Achromobacter xylosoxidans 	Bacteria <bacteria>
phosphatidylcholine biosynthesis III	Daucus carota // Glycine max	Viridiplantae
poly(ribitol phosphate) wall teichoic acid biosynthesis II (<i>S. aureus</i>)	Staphylococcus aureus	Firmicutes
sulfoacetaldehyde degradation IV	Bacteroidales bacterium Barb6XT // Bifidobacterium tissieri // Bilophila wadsworthia // Desulfitobacterium dehalogenans // Desulfotomaculum nigrificans // Oleidesulfovibrio alaskensis // Desulfovibrio desulfuricans // Desulfovibrio fairfieldensis // Desulfovibrio piger // Cupidesulfovibrio termitidis // Desulfovibrio vulgaris // Paenibacillus borealis // Propionispora vibrioides // Sporomusa silvacetica	Bacteria <bacteria>
phosphatidylcholine biosynthesis V	Acetobacter aceti // Agrobacterium tumefaciens // Bos taurus // Bradyrhizobium diazoefficiens // Bradyrhizobium japonicum // Bradyrhizobium sp. SEMIA 6144 // Mesorhizobium loti // Mus musculus // Rattus norvegicus // Rhizobium leguminosarum // Cereibacter sphaeroides // Saccharomyces cerevisiae // Sinorhizobium meliloti // Zymomonas mobilis	Fungi // Opisthokonta // Bacteria <bacteria>
poly(3-O-&beta;-D-glucopyranosyl-<i>N</i>-acetylgalactosamine 1-phosphate) wall teichoic acid biosynthesis	Bacillus subtilis	Firmicutes
sulfide oxidation IV (mitochondria)	Homo sapiens // Rattus norvegicus	Mammalia
phosphatidylcholine biosynthesis VII	Xanthomonas campestris	Bacteria <bacteria>
sulfide oxidation III (to sulfite)	Acidiphilium acidophilum // Acidithiobacillus ferrooxidans // Acidithiobacillus thiooxidans // Starkeya novella // Thiobacillus thioparus	Proteobacteria
phosphatidylcholine biosynthesis II	Daucus carota // Lemna aequinoctialis // Arabidopsis thaliana	Viridiplantae
superpathway of sulfide oxidation (phototrophic sulfur bacteria)	Allochromatium vinosum // Chlorobaculum tepidum // Chlorobaculum tepidum	Chlorobiaceae // Ectothiorhodospiraceae // Chromatiaceae
fatty acid biosynthesis initiation (plant mitochondria)	Pisum sativum // Arabidopsis thaliana	Viridiplantae
demethylmenaquinol-8 biosynthesis I	Enterococcus faecalis // Aeromonas hydrophila // Proteus vulgaris // Proteus mirabilis // Klebsiella aerogenes // Citrobacter freundii // Pectobacterium carotovorum // Escherichia coli	Bacteria <bacteria>
sulfide oxidation II (flavocytochrome <em>c</em>)	Ectothiorhodospira shaposhnikovii // Chlorobium limicola // Allochromatium vinosum // Thiobacillus sp.	Bacteria <bacteria>
fatty acid biosynthesis initiation (type I)	Homo sapiens // Saccharomyces cerevisiae	Opisthokonta
demethylmenaquinol-8 biosynthesis II	Chlamydia abortus // Chlamydia caviae // Chlamydia felis // Chlamydia muridarum // Chlamydia trachomatis // Leptospira borgpetersenii // Leptospira interrogans // Streptomyces coelicolor // Streptomyces coelicolor // Thermus thermophilus // Thermus thermophilus	Archaea // Bacteria <bacteria>
superpathway of sulfide oxidation (<i>Starkeya novella</i>)	Starkeya novella	Bacteria <bacteria>
fatty acid biosynthesis initiation (type II)	Brassica napus // Cuphea wrightii // Escherichia coli // Mycobacterium tuberculosis // Pisum sativum // Pseudomonas aeruginosa // Arabidopsis thaliana	Viridiplantae // Bacteria <bacteria>
superpathway of demethylmenaquinol-8 biosynthesis I	Aeromonas hydrophila // Citrobacter freundii // Klebsiella aerogenes // Enterococcus faecalis // Escherichia coli // Pectobacterium carotovorum // Proteus mirabilis // Proteus vulgaris	Bacteria <bacteria>
