NCBI taxon id,scientific name,mean relative abundance,median relative abundance,SD of relative abundance
823,Parabacteroides distasonis,1.667292523,0.684346,2.192155651
40520,Blautia obeum,0.529672307,0.376034,0.592351526
820,Bacteroides uniformis,3.114406625,1.80791,4.367423587
821,Bacteroides vulgatus,4.416235138,1.026771,6.86248141
39484,Eubacterium desmolans,0.160553368,0.07184135,0.24862409
28116,Bacteroides ovatus,1.331200942,0.663077,1.855933038
818,Bacteroides thetaiotaomicron,0.933487387,0.4326225,1.389015431
1515,Ruminiclostridium thermocellum,0.270292805,0.1362085,0.378464559
1535,[Clostridium] leptum,0.338505016,0.184428,0.509231932
44749,Sporobacter termitidis,0.464826064,0.167282,0.727070838
46506,Bacteroides stercoris,1.060629977,0.0660067,2.360494529
69825,[Clostridium] indolis,0.439609092,0.1210075,1.064102578
351091,Oscillibacter valericigenes,1.21556611,0.4107315,2.127492028
216816,Bifidobacterium longum,0.245472982,0.0570096,0.436740552
36847,[Clostridium] neopropionicum,0.152486223,0.05422985,0.250477442
204516,Bacteroides massiliensis,0.626264357,0.0416898,1.959849777
1755626,Faecalibacterium sp. MC_41,5.924528383,3.23885,6.389677909
39485,[Eubacterium] eligens,0.784695013,0.230959,1.386630425
165179,Prevotella copri,3.664937335,0.0775825,7.162235893
328813,Alistipes onderdonkii,0.5772045,0.1723075,1.467797457
29348,[Clostridium] spiroforme,0.374308935,0.0979288,0.661218781
47678,Bacteroides caccae,1.047495619,0.0839851,2.368201596
246787,Bacteroides cellulosilyticus,0.850391457,0.127307,1.613489192
357276,Bacteroides dorei,0.127206201,0.0486855,0.228359313
1303,Streptococcus oralis,0.386404857,0.0633032,0.802986198
28117,Alistipes putredinis,0.953623119,0.5183135,1.089160361
46503,Parabacteroides merdae,0.66124116,0.1113925,1.560484722
169435,Anaerotruncus colihominis,0.332845163,0.204157,0.414457593
301301,Roseburia hominis,0.367028455,0.1583405,0.683178699
536633,Blautia glucerasea,0.690133477,0.2800645,0.944498661
1680,Bifidobacterium adolescentis,0.625203021,0.0561993,1.458441961
28037,Streptococcus mitis,0.170293949,0.0315956,0.332533919
218538,Dialister invisus,1.325684752,0.299172,2.180635865
397865,Barnesiella viscericola,0.551876017,0.0806922,1.103568072
28118,Odoribacter splanchnicus,0.228917763,0.118003,0.25142717
84030,[Clostridium] saccharolyticum,0.155609721,0.04209755,0.297284919
166486,Roseburia intestinalis,0.182305403,0.0346603,0.496563246
1465754,Alistipes timonensis,0.114760625,0.0445247,0.161584529
839,Prevotella ruminicola,0.356644357,0.0343077,0.680762602
33038,[Ruminococcus] gnavus,0.117240995,0.0247097,0.244334966
39488,[Eubacterium] hallii,0.040597445,0.0202856,0.047991336
39491,[Eubacterium] rectale,0.078286887,0.0239139,0.225267652
371601,Bacteroides xylanisolvens,0.041157056,0.0153046,0.067563991
817,Bacteroides fragilis,0.514914008,0.0559428,1.119809993
187327,Acidaminococcus intestini,0.763021636,0.08036635,1.629244637
729,Haemophilus parainfluenzae,0.106693375,0.0269663,0.199263896
1512,[Clostridium] symbiosum,0.14635561,0.0713474,0.188578997
84026,[Clostridium] methylpentosum,0.090694415,0.0219211,0.226563625
208479,[Clostridium] bolteae,0.132858056,0.0500501,0.25969138
328814,Alistipes shahii,0.360554127,0.114651,1.273475898
329854,Bacteroides intestinalis,0.287902113,0.0412014,0.705079073
40518,Ruminococcus bromii,0.136099661,0.04058355,0.335078487
1308,Streptococcus thermophilus,0.238513889,0.0561798,0.430213799
239935,Akkermansia muciniphila,3.147283912,0.32229,7.602052585
310298,Bacteroides coprocola,0.40581844,0.0384287,1.052743475
1265,Ruminococcus flavefaciens,0.235398214,0.0391078,0.506206673
29370,[Clostridium] sphenoides,0.138741117,0.0396964,0.295980792
39496,Eubacterium ventriosum,0.128349948,0.06221305,0.238086716
28111,Bacteroides eggerthii,0.383694488,0.0133808,1.754158529
28446,[Clostridium] propionicum,0.173108695,0.0792749,0.343055903
40519,Ruminococcus callidus,0.229389394,0.0240558,0.504698019
52787,Anaerofilum pentosovorans,0.067058378,0.0230348,0.113188715
214856,Alistipes finegoldii,0.309636351,0.0686153,0.59996119
1161942,Ruminococcus champanellensis,0.13524001,0.0127307,0.267517372
876,Desulfovibrio desulfuricans,0.068603407,0.0224195,0.137840601
61171,Holdemania filiformis,0.055133913,0.03222425,0.069675149
288965,[Clostridium] clariflavum,0.076723297,0.02451125,0.142769553
626932,Alistipes indistinctus,0.164298751,0.07133535,0.246232215
35785,Clostridium maximum,0.254547524,0.0171086,0.839109443
39492,[Eubacterium] siraeum,0.538260578,0.103133,1.462512983
115979,Bacillus nealsonii,0.023368115,0.0115174,0.032695185
143393,[Eubacterium] sulci,0.066115251,0.0217637,0.093410179
