NCBI taxon id,scientific name,mean relative abundance,median relative abundance,SD of relative abundance
28116,Bacteroides ovatus,2.15576463,0.8585295,3.619034939
818,Bacteroides thetaiotaomicron,1.510630817,0.6263125,3.244605952
821,Bacteroides vulgatus,4.286709006,1.158725,7.191222363
40520,Blautia obeum,0.902173779,0.518293,1.376835665
820,Bacteroides uniformis,3.163174373,1.49216,4.0752376
216816,Bifidobacterium longum,0.960643645,0.0916183,3.014546633
823,Parabacteroides distasonis,0.736059531,0.327588,1.284170515
39486,Dorea formicigenerans,0.248484413,0.07864,0.618593782
28117,Alistipes putredinis,1.210344733,0.635847,1.772256775
39485,[Eubacterium] eligens,0.924285028,0.3940595,1.394649843
47678,Bacteroides caccae,0.83864595,0.139158,1.962222238
1308,Streptococcus thermophilus,0.273841359,0.0612421,0.624924966
46506,Bacteroides stercoris,1.391003961,0.0716717,3.830344857
246787,Bacteroides cellulosilyticus,0.684526361,0.07435,1.603312598
1535,[Clostridium] leptum,0.24382573,0.0904011,0.519064802
410072,Coprococcus comes,0.252917892,0.0717267,0.455089498
357276,Bacteroides dorei,0.507816295,0.0698492,1.966857538
1512,[Clostridium] symbiosum,0.248416353,0.0555499,1.054560592
239935,Akkermansia muciniphila,1.333242101,0.088162,3.659041918
817,Bacteroides fragilis,1.495977802,0.0921947,4.76977238
165179,Prevotella copri,5.24847744,0.0319766,13.50906912
328813,Alistipes onderdonkii,0.501676768,0.145532,1.096802803
351091,Oscillibacter valericigenes,0.712040035,0.280333,1.256771156
28037,Streptococcus mitis,0.102162307,0.023104,0.33794971
46503,Parabacteroides merdae,0.650186243,0.0996536,1.440653658
69825,[Clostridium] indolis,0.42993557,0.138989,0.917762437
329854,Bacteroides intestinalis,0.259534418,0.0395214,0.702206585
169435,Anaerotruncus colihominis,0.157240056,0.0919365,0.279276506
208479,[Clostridium] bolteae,0.170040269,0.0254963,0.5152246
301301,Roseburia hominis,0.382943055,0.127683,0.703903943
204516,Bacteroides massiliensis,0.863701651,0.06215635,1.77455993
39484,Eubacterium desmolans,0.202978839,0.0878002,0.334943568
371601,Bacteroides xylanisolvens,0.058239064,0.0276617,0.123202327
536633,Blautia glucerasea,0.764450566,0.274403,1.585834185
1515,Ruminiclostridium thermocellum,0.332047731,0.0784806,0.651471788
84030,[Clostridium] saccharolyticum,0.169105508,0.0633835,0.263118719
33038,[Ruminococcus] gnavus,0.303172478,0.0168255,1.521704538
166486,Roseburia intestinalis,0.168462968,0.0224757,0.529276155
729,Haemophilus parainfluenzae,0.353856709,0.04832705,0.967418707
39496,Eubacterium ventriosum,0.104370763,0.0422401,0.156769506
39491,[Eubacterium] rectale,0.878586192,0.02814435,3.301800907
328814,Alistipes shahii,0.287066417,0.1225925,0.41302529
218538,Dialister invisus,1.628077697,0.188582,4.244699856
28118,Odoribacter splanchnicus,0.223684656,0.1256605,0.349813247
29348,[Clostridium] spiroforme,0.392056456,0.1321405,0.722295479
44749,Sporobacter termitidis,0.247619733,0.0587383,0.633439949
1680,Bifidobacterium adolescentis,0.608389449,0.0786596,1.699970551
1465754,Alistipes timonensis,0.133659589,0.03442,0.422713126
39492,[Eubacterium] siraeum,0.667598366,0.088006,1.449745699
40518,Ruminococcus bromii,0.64096661,0.0439367,2.094441305
261299,Intestinibacter bartlettii,0.272822902,0.04924,0.849946345
1303,Streptococcus oralis,0.081728518,0.020889,0.201273653
1685,Bifidobacterium breve,0.397384721,0.0721182,1.211882873
214856,Alistipes finegoldii,0.384205045,0.0654514,0.928369389
397865,Barnesiella viscericola,0.60815485,0.11731,1.431382832
562,Escherichia coli,6.417959652,0.07076745,17.1394699
28446,[Clostridium] propionicum,0.08901036,0.0418171,0.117404416
291645,Bacteroides nordii,0.05841961,0.0164522,0.218054468
29466,Veillonella parvula,0.184293215,0.0186702,0.696174056
39488,[Eubacterium] hallii,0.574263867,0.0111285,2.293002021
36847,[Clostridium] neopropionicum,0.073320284,0.0273508,0.153911315
28111,Bacteroides eggerthii,0.333730996,0.0115562,1.120725763
39778,Veillonella dispar,0.089742261,0.0153894,0.222457537
61171,Holdemania filiformis,0.043910127,0.0232721,0.063980498
84026,[Clostridium] methylpentosum,0.069003542,0.0271101,0.15279074
288965,[Clostridium] clariflavum,0.100977623,0.0177934,0.4763567
33043,Coprococcus eutactus,0.435978415,0.0247157,1.109382299
35833,Bilophila wadsworthia,0.14659722,0.0456761,0.333134217
187327,Acidaminococcus intestini,0.610915569,0.0513584,1.823975704
39490,Eubacterium ramulus,0.08967871,0.0434213,0.125773401
487175,Parasutterella excrementihominis,0.370625595,0.065032,0.74793895
1304,Streptococcus salivarius,0.257840784,0.0131755,1.136944811
40519,Ruminococcus callidus,0.206020776,0.0385736,0.366007199
