NCBI taxon id,scientific name,mean relative abundance,median relative abundance,SD of relative abundance
7,Azorhizobium caulinodans,0.029020807,0.0248571,0.031027083
9,Buchnera aphidicola,0.002569255,0.00201082,0.002358059
11,Cellulomonas gilvus,0.00267607,0.003220885,0.001977873
14,Dictyoglomus thermophilum,0.001279599,0.00121017,0.000759806
17,Methylophilus methylotrophus,0.003147989,0.002882575,0.00214055
19,Pelobacter carbinolicus,0.007456124,0.002017345,0.048905029
24,Shewanella putrefaciens,0.01139302,0.001372525,0.072563745
25,Shewanella hanedai,0.00332403,0.00332403,0
33,Myxococcus fulvus,0.008315338,0.00117726,0.013926666
35,Corallococcus macrosporus,0.000172818,0.000172818,0
41,Stigmatella aurantiaca,0.002576323,0.000743721,0.003592503
51,Chondromyces apiculatus,0.001227977,0.000743721,0.001652339
54,Nannocystis exedens,0.001436812,0.00107117,0.001084003
56,Sorangium cellulosum,0.00125583,0.00107869,0.000873572
61,Vitreoscilla stercoraria,0.002827872,0.0017592,0.003194564
69,Lysobacter enzymogenes,0.006713492,0.001182245,0.014776063
72,Simonsiella muelleri,0.003864962,0.00205801,0.007400081
78,Caulobacter sp.,0.00245,0.00245,0
83,Hyphomicrobium vulgare,0.005338055,0.001074775,0.012646465
84,Hyphomicrobium methylovorum,0.004900705,0.00142446,0.00689997
86,Hyphomonas jannaschiana,0.001703123,0.000909284,0.001623622
94,Stella humosa,0.00193388,0.001625805,0.001228247
102,Polaribacter glomeratus,0.001166709,0.000774317,0.001272157
103,Flectobacillus major,0.002924073,0.00137363,0.005535178
104,Cyclobacterium marinum,0.008836603,0.002967255,0.01547463
106,Runella slithyformis,0.079650762,0.06564015,0.072556399
108,Spirosoma linguale,0.021317719,0.000951646,0.056703567
114,Gemmata obscuriglobus,0.009485633,0.001870865,0.079227705
119,Rubinisphaera brasiliensis,0.002343806,0.00109322,0.003967107
120,Planctopirus limnophila,0.001947821,0.001099626,0.001855686
122,Gimesia maris,0.004156807,0.001368465,0.018915827
124,Blastopirellula marina,0.003575781,0.001042686,0.009003365
125,Pirellula staleyi,0.003493527,0.00141891,0.011747123
128,Isosphaera pallida,0.011863313,0.000593239,0.057851467
134,Methylocystis parvus,0.001309496,0.001309496,0.000616235
